#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
A,lf-git,"is an extensive terminal file manager that everyone likes."
,neovim,"a tidier vim with some useful features"
,man-db,"lets you read man pages of programs."
,tmux,"is a terminal multiplexer and the dropdown window in LARBS."
,unrar,"extracts rar's."
,unzip,"unzips zips."
A,htop,"is an interactive text-mode process viewer."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool."
,highlight,"can highlight code output."
A,zsh-fast-syntax-highlighting,"provides syntax highlighting in the shell."
A,task-spooler,"queues commands or files for download."
A,yadm-git,"manages dot files."
